company,item,calories,"total fat
(g)","saturated fat
(g)","trans fat
(g)","cholesterol
(mg)","sodium 
(mg)","carbs
(g)","fiber
(g)","sugars
(g)","protein
(g)"
McDonald’s,Hamburger,0.20164609053497942,0.08247422680412371,0.0625,0.0,0.03508771929824561,0.17964693665628245,0.11152416356877323,0.06451612903225806,0.022727272727272728,0.15714285714285714
McDonald’s,Cheeseburger,0.242798353909465,0.1134020618556701,0.15625,0.0,0.06140350877192982,0.2592592592592593,0.11895910780669144,0.06451612903225806,0.022727272727272728,0.19999999999999998
McDonald’s,Double Cheeseburger,0.3580246913580247,0.2268041237113402,0.3125,0.25,0.13157894736842105,0.39771547248182765,0.12267657992565055,0.06451612903225806,0.026515151515151516,0.34285714285714286
McDonald’s,McDouble,0.3168724279835391,0.18556701030927836,0.21875,0.25,0.10526315789473685,0.31810314987885085,0.11895910780669144,0.06451612903225806,0.026515151515151516,0.3
McDonald’s, Quarter Pounder® with Cheese,0.4156378600823045,0.25773195876288657,0.34375,0.25,0.14912280701754385,0.4115610938040845,0.14498141263940517,0.0967741935483871,0.03409090909090909,0.39999999999999997
McDonald’s,Double Quarter Pounder® with Cheese,0.6049382716049383,0.422680412371134,0.5625,0.5,0.26315789473684215,0.47732779508480444,0.14498141263940517,0.0967741935483871,0.03409090909090909,0.6714285714285715
McDonald’s,Big Mac®,0.4403292181069959,0.28865979381443296,0.28125,0.25,0.12280701754385964,0.35964001384562133,0.16356877323420072,0.0967741935483871,0.03409090909090909,0.34285714285714286
McDonald’s,Big N’ Tasty®,0.37448559670781895,0.2371134020618557,0.21875,0.25,0.11403508771929825,0.24887504326756665,0.13382899628252787,0.0967741935483871,0.030303030303030304,0.32857142857142857
McDonald’s,Big N’ Tasty® with Cheese,0.4156378600823045,0.2783505154639175,0.3125,0.25,0.14035087719298245,0.33194877120110766,0.13754646840148696,0.0967741935483871,0.030303030303030304,0.3714285714285714
McDonald’s,Angus Bacon & Cheese,0.6460905349794239,0.3917525773195876,0.5,0.5,0.2456140350877193,0.716164762893735,0.23048327137546465,0.12903225806451613,0.04924242424242424,0.6285714285714286
McDonald’s,Angus Deluxe,0.6131687242798354,0.3917525773195876,0.46875,0.5,0.2280701754385965,0.5880927656628592,0.22304832713754644,0.12903225806451613,0.03787878787878788,0.5571428571428572
McDonald’s,Angus Mushroom & Swiss,0.6296296296296297,0.40206185567010305,0.5,0.5,0.2280701754385965,0.4046382831429561,0.21561338289962823,0.12903225806451613,0.030303030303030304,0.6142857142857143
McDonald’s,Filet-O-Fish®,0.308641975308642,0.1752577319587629,0.0625,0.0,0.06140350877192982,0.22118380062305298,0.13754646840148696,0.06451612903225806,0.01893939393939394,0.19999999999999998
McDonald’s,McChicken ®,0.29218106995884774,0.15463917525773196,0.0625,0.0,0.052631578947368425,0.28695050190377297,0.14498141263940517,0.06451612903225806,0.01893939393939394,0.1857142857142857
McDonald’s,McRib ®,0.40740740740740744,0.25773195876288657,0.28125,0.0,0.11403508771929825,0.3388715818622361,0.15985130111524162,0.0967741935483871,0.04166666666666667,0.3
